,Date,D&J_Close30d_Std.,D&J_Close30d_Avg.,D&J_Close30d_Max,D&J_Close30d_Min
0,2022-06-30,1060.1590361326905,31638.516,33248.28,29888.78
1,2022-07-01,1064.4726198570843,31625.422333333336,33248.28,29888.78
2,2022-08-01,703.2213578743059,31359.168666666665,32845.13,29888.78
